 TopoDir BaixDir TopoEsq TopoDir             TrasDir TrasEsq FrenDir FrenEsq
 29760.0  9728.0 19392.0 26112.0               0.906   2.043   2.610   2.665
 29696.0 10048.0 19584.0 26112.0               0.741   2.040   2.604   2.665
 29632.0  9856.0 19648.0 26176.0               0.812   2.046   2.617   2.675
 29696.0 10176.0 19648.0 26304.0               0.799   2.066   2.604   2.652
 29632.0 10112.0 19584.0 26304.0               0.770   2.021   2.591   2.662
 29632.0  9984.0 19648.0 26304.0               0.806   2.046   2.627   2.675
 29824.0  9920.0 19584.0 26432.0               0.780   2.030   2.591   2.672
 29632.0  9792.0 19648.0 26368.0               0.860   2.053   2.607   2.675
 29504.0  9600.0 19648.0 26496.0               0.835   2.066   2.601   2.681
 29440.0  9728.0 19712.0 26432.0               0.883   2.053   2.617   2.665
 29440.0  8768.0 19904.0 26496.0               0.809   2.066   2.614   2.691
 29568.0  8896.0 20096.0 26560.0               0.873   2.043   2.594   2.688
 29696.0  8832.0 20160.0 26560.0               0.896   2.059   2.581   2.668
 29760.0  8640.0 20160.0 26432.0               0.864   2.063   2.614   2.668
 29760.0  8384.0 20224.0 26432.0               0.773   2.075   2.623   2.656
 29888.0  7936.0 20480.0 26304.0               0.812   2.066   2.610   2.675
 30144.0  7808.0 20672.0 26240.0               0.851   2.059   2.614   2.672
 30208.0  7488.0 20672.0 26240.0               0.889   2.079   2.594   2.665
 30272.0  7360.0 21056.0 26048.0               0.790   2.069   2.594   2.681
 30208.0  7424.0 21120.0 26112.0               0.844   2.082   2.620   2.656
 30272.0  7424.0 21248.0 26112.0               0.764   2.059   2.610   2.656
 30208.0  7360.0 20992.0 26112.0               0.764   2.082   2.594   2.643
 30208.0  7296.0 20928.0 26112.0               0.873   2.079   2.614   2.623
 30208.0  7296.0 20864.0 26112.0               0.835   2.075   2.630   2.665
 30272.0  7296.0 21248.0 25792.0               0.857   2.072   2.623   2.662
 30400.0  7424.0 21248.0 25600.0               0.796   2.063   2.630   2.659
 30656.0  7360.0 21248.0 25088.0               0.786   2.075   2.623   2.639
 30720.0  7680.0 21312.0 25088.0               0.783   2.063   2.627   2.636
 30720.0  7744.0 21376.0 25088.0               0.867   2.075   2.630   2.656
 30720.0  7808.0 21312.0 25280.0               0.883   2.072   2.617   2.668
 30720.0  7808.0 21440.0 25408.0               0.854   2.040   2.614   2.646
 30720.0  7808.0 21440.0 25536.0               0.841   2.072   2.598   2.649
 30720.0  8000.0 21120.0 25664.0               0.857   2.075   2.623   2.633
 30720.0  8000.0 20864.0 25792.0               0.831   2.085   2.633   2.665
 30720.0  8000.0 20864.0 25920.0               0.764   2.085   2.623   2.649
 30784.0  8448.0 20480.0 25984.0               0.819   2.059   2.604   2.659
 30784.0  8448.0 20544.0 25984.0               0.873   2.072   2.591   2.646
 30720.0  8512.0 20416.0 25984.0               0.809   2.085   2.623   2.643
 30784.0  8512.0 20416.0 25984.0               0.815   2.088   2.620   2.659
 30784.0  8512.0 20416.0 25984.0               0.748   2.092   2.627   2.659
 30784.0  8576.0 20416.0 25920.0               0.844   2.053   2.610   2.659
 30912.0  8448.0 20416.0 25984.0               0.835   2.072   2.623   2.639
 30848.0  8320.0 20416.0 25984.0               0.828   2.095   2.627   2.659
 30912.0  8064.0 20352.0 25984.0               0.848   2.101   2.620   2.659
 31040.0  7808.0 20480.0 25856.0               0.780   2.088   2.620   2.646
 31168.0  7488.0 20288.0 25728.0               0.841   2.075   2.607   2.652
