 TopoDir BaixDir TopoEsq TopoDir             TrasDir TrasEsq FrenDir FrenEsq
 37632.0     0.0 26176.0 12288.0               0.815   2.208   2.581   2.549
 37760.0     0.0 25728.0 11968.0               0.757   2.217   2.575   2.578
 37760.0     0.0 25792.0 11968.0               0.851   2.214   2.556   2.581
 37760.0     0.0 25728.0 11968.0               0.744   2.191   2.536   2.565
 37760.0     0.0 25600.0 11904.0               0.799   2.188   2.578   2.591
 37760.0     0.0 25216.0 11904.0               0.796   2.201   2.546   2.601
 37568.0     0.0 25472.0 12160.0               0.773   2.198   2.572   2.565
 37568.0     0.0 25536.0 12160.0               0.886   2.217   2.565   2.598
 37568.0     0.0 25536.0 12160.0               0.893   2.224   2.562   2.585
 37632.0     0.0 25536.0 12160.0               0.909   2.201   2.546   2.588
 37632.0     0.0 25472.0 12224.0               0.854   2.208   2.588   2.594
 37696.0     0.0 25472.0 12160.0               0.751   2.217   2.585   2.585
 37696.0     0.0 25536.0 12224.0               0.715   2.233   2.581   2.588
 37632.0     0.0 25472.0 12224.0               0.893   2.240   2.598   2.585
 37632.0     0.0 25472.0 12288.0               0.870   2.227   2.575   2.594
 37696.0     0.0 25472.0 12288.0               0.873   2.230   2.562   2.617
 37696.0     0.0 25472.0 12416.0               0.893   2.188   2.591   2.594
 37696.0     0.0 25536.0 12352.0               0.918   2.230   2.598   2.585
 37760.0     0.0 25472.0 12416.0               0.777   2.220   2.572   2.588
 37760.0     0.0 25472.0 12416.0               0.867   2.220   2.591   2.578
 37824.0     0.0 25536.0 12416.0               0.880   2.227   2.594   2.585
 37760.0     0.0 25408.0 12352.0               0.880   2.179   2.591   2.578
 37888.0     0.0 25408.0 12352.0               0.828   2.208   2.543   2.617
 37888.0     0.0 25344.0 12416.0               0.854   2.217   2.585   2.614
 37888.0     0.0 25408.0 12416.0               0.848   2.224   2.581   2.607
 37824.0     0.0 25344.0 12480.0               0.873   2.230   2.588   2.620
 37888.0     0.0 25344.0 12416.0               0.677   2.233   2.578   2.610
 37888.0     0.0 25344.0 12480.0               0.883   2.204   2.578   2.585
 37952.0     0.0 25280.0 12416.0               0.751   2.224   2.552   2.588
 37888.0     0.0 25280.0 12416.0               0.844   2.208   2.581   2.601
 37952.0     0.0 25216.0 12480.0               0.812   2.230   2.575   2.581
 37952.0     0.0 25152.0 12480.0               0.870   2.233   2.594   2.581
 38016.0     0.0 25088.0 12480.0               0.815   2.214   2.562   2.588
 38016.0     0.0 25088.0 12416.0               0.722   2.217   2.556   2.578
 38016.0     0.0 25088.0 12480.0               0.864   2.217   2.530   2.604
 38016.0     0.0 25024.0 12544.0               0.880   2.214   2.588   2.598
 38080.0     0.0 25088.0 12608.0               0.851   2.224   2.588   2.588
 38080.0     0.0 25088.0 12608.0               0.809   2.227   2.588   2.588
 38144.0     0.0 24960.0 12608.0               0.699   2.227   2.578   2.601
 38144.0     0.0 25024.0 12608.0               0.799   2.208   2.552   2.578
 38144.0     0.0 24768.0 12608.0               0.835   2.208   2.578   2.585
 38208.0     0.0 24896.0 12480.0               0.722   2.208   2.575   2.575
 38208.0     0.0 24768.0 12416.0               0.741   2.208   2.559   2.581
 38272.0     0.0 24576.0 12352.0               0.664   2.198   2.581   2.588
 38208.0     0.0 24576.0 12288.0               0.793   2.208   2.581   2.572
 38208.0     0.0 24576.0 12224.0               0.741   2.208   2.549   2.549
 38208.0     0.0 24640.0 12288.0               0.815   2.224   2.546   2.572
 38208.0     0.0 24640.0 12288.0               0.828   2.214   2.549   2.572
 38208.0     0.0 24640.0 12416.0               0.831   2.214   2.581   2.565
 38272.0     0.0 24640.0 12416.0               0.809   2.208   2.578   2.610
 38272.0     0.0 24704.0 12416.0               0.793   2.204   2.581   2.591
 38272.0     0.0 24832.0 12544.0               0.793   2.224   2.559   2.565
 38272.0     0.0 24832.0 12480.0               0.793   2.224   2.588   2.604
 38336.0     0.0 24640.0 12480.0               0.719   2.214   2.575   2.601
 38272.0     0.0 24768.0 12608.0               0.767   2.220   2.578   2.585
 38336.0     0.0 24704.0 12480.0               0.802   2.211   2.572   2.604
 38272.0     0.0 24640.0 12544.0               0.815   2.208   2.552   2.601
 38400.0     0.0 24704.0 12544.0               0.783   2.217   2.559   2.610
 38336.0     0.0 24832.0 12608.0               0.819   2.217   2.578   2.610
 38336.0     0.0 24768.0 12544.0               0.802   2.166   2.578   2.604
 38272.0     0.0 24704.0 12608.0               0.838   2.230   2.585   2.604
 38336.0     0.0 24128.0 12544.0               0.812   2.217   2.585   2.572
 38336.0     0.0 24640.0 12544.0               0.822   2.227   2.588   2.614
 38272.0     0.0 24640.0 12544.0               0.822   2.214   2.594   2.604
 38400.0     0.0 24704.0 12544.0               0.828   2.227   2.572   2.594
 38336.0     0.0 24576.0 12544.0               0.835   2.214   2.568   2.585
 38336.0     0.0 24512.0 12544.0               0.777   2.217   2.585   2.594
 38272.0     0.0 24640.0 12480.0               0.819   2.214   2.585   2.607
 38272.0     0.0 24512.0 12608.0               0.735   2.224   2.581   2.575
 38272.0     0.0 24576.0 12608.0               0.825   2.227   2.598   2.565
 38272.0     0.0 24576.0 12544.0               0.790   2.220   2.536   2.591
 38336.0     0.0 24640.0 12608.0               0.773   2.220   2.581   2.559
 38272.0     0.0 24576.0 12544.0               0.825   2.214   2.581   2.598
 38400.0     0.0 24512.0 12480.0               0.806   2.208   2.578   2.617
 38400.0     0.0 24576.0 12480.0               0.793   2.188   2.562   2.581
 38592.0     0.0 24576.0 12544.0               0.757   2.204   2.562   2.607
 38592.0     0.0 24576.0 12544.0               0.767   2.220   2.578   2.604
 38592.0     0.0 24576.0 12544.0               0.786   2.230   2.585   2.614
 38592.0     0.0 24704.0 12608.0               0.877   2.237   2.581   2.610
 38528.0     0.0 24832.0 12608.0               0.883   2.224   2.575   2.614
 38592.0     0.0 24896.0 12672.0               0.799   2.233   2.591   2.604
 38592.0     0.0 24896.0 12736.0               0.877   2.230   2.549   2.601
 38528.0     0.0 24832.0 12736.0               0.877   2.240   2.581   2.614
 38592.0     0.0 24896.0 12736.0               0.831   2.220   2.552   2.601
 38528.0     0.0 24896.0 12736.0               0.793   2.230   2.572   2.572
 38592.0     0.0 24960.0 12672.0               0.806   2.227   2.578   2.581
 38528.0     0.0 24896.0 12672.0               0.851   2.233   2.588   2.604
 38592.0     0.0 24960.0 12672.0               0.893   2.237   2.572   2.607
 38656.0     0.0 24896.0 12672.0               0.915   2.230   2.588   2.578
 38592.0     0.0 24896.0 12672.0               0.889   2.240   2.588   2.601
 38656.0     0.0 24960.0 12736.0               0.831   2.220   2.581   2.581
 38592.0     0.0 25024.0 12736.0               0.864   2.230   2.581   2.604
 38656.0     0.0 25024.0 12672.0               0.912   2.237   2.591   2.578
 38656.0     0.0 25024.0 12672.0               0.893   2.227   2.594   2.568
 38720.0     0.0 25024.0 12672.0               0.857   2.224   2.581   2.607
 38656.0     0.0 25024.0 12736.0               0.883   2.217   2.578   2.591
 38656.0     0.0 25024.0 12800.0               0.841   2.214   2.591   2.604
 38656.0     0.0 25024.0 12672.0               0.860   2.188   2.585   2.598
 38656.0     0.0 25024.0 12736.0               0.899   2.217   2.588   2.620
 38656.0     0.0 25024.0 12672.0               0.873   2.220   2.572   2.588
 38656.0     0.0 25088.0 12672.0               0.896   2.211   2.598   2.614
 38656.0     0.0 25024.0 12800.0               0.912   2.227   2.581   2.572
 38720.0     0.0 25088.0 12672.0               0.877   2.224   2.594   2.604
 38720.0     0.0 25088.0 12736.0               0.915   2.224   2.552   2.598
 38656.0     0.0 25088.0 12736.0               0.922   2.240   2.594   2.578
 38592.0     0.0 25216.0 12800.0               0.931   2.224   2.591   2.588
 38592.0     0.0 25408.0 12736.0               0.870   2.195   2.588   2.588
 38592.0     0.0 25344.0 12736.0               0.899   2.230   2.588   2.585
 38592.0     0.0 25408.0 12800.0               0.925   2.243   2.575   2.598
 38592.0     0.0 25408.0 12864.0               0.918   2.224   2.581   2.588
 38592.0     0.0 25472.0 12800.0               0.867   2.233   2.588   2.585
 38656.0     0.0 25472.0 12800.0               0.909   2.191   2.585   2.601
 38592.0     0.0 25408.0 12800.0               0.893   2.224   2.546   2.594
 38592.0     0.0 25472.0 12800.0               0.909   2.237   2.588   2.591
 38656.0     0.0 25408.0 12800.0               0.909   2.237   2.591   2.578
 38656.0     0.0 25408.0 12800.0               0.893   2.227   2.578   2.585
 38592.0     0.0 25536.0 12800.0               0.889   2.220   2.581   2.585
 38592.0     0.0 25600.0 12800.0               0.854   2.185   2.575   2.617
 38656.0     0.0 25600.0 12672.0               0.889   2.227   2.581   2.607
 38592.0     0.0 25536.0 12800.0               0.909   2.220   2.591   2.585
 38592.0     0.0 25600.0 12864.0               0.889   2.237   2.581   2.585
 38592.0     0.0 25664.0 12800.0               0.828   2.240   2.578   2.585
 38592.0     0.0 25664.0 12800.0               0.825   2.220   2.588   2.581
 38592.0     0.0 25664.0 12800.0               0.886   2.237   2.578   2.617
 38592.0     0.0 25728.0 12864.0               0.877   2.204   2.601   2.607
 38656.0     0.0 25728.0 12928.0               0.893   2.227   2.552   2.610
