 TopoDir BaixDir TopoEsq TopoDir             TrasDir TrasEsq FrenDir FrenEsq
  2240.0 19712.0     0.0 18880.0               0.744   2.053   2.543   2.627
  3648.0 19520.0     0.0 19264.0               0.786   2.079   2.543   2.639
  5248.0 19648.0     0.0 19072.0               0.809   2.082   2.549   2.633
  7040.0 19008.0     0.0 19264.0               0.722   2.088   2.559   2.623
  8704.0 18560.0     0.0 19712.0               0.764   2.027   2.565   2.643
 10432.0 17856.0     0.0 19200.0               0.802   2.079   2.556   2.646
 12224.0 17152.0     0.0 19200.0               0.825   2.063   2.562   2.636
 13632.0 16960.0     0.0 19072.0               0.825   2.053   2.572   2.630
 14720.0 16576.0     0.0 19264.0               0.764   2.053   2.565   2.646
 15744.0 15936.0  1984.0 18944.0               0.835   2.037   2.559   2.639
 16768.0 15488.0  5568.0 19328.0               0.809   2.046   2.533   2.614
 18112.0 14784.0  6784.0 19008.0               0.793   2.046   2.552   2.639
 18816.0 14272.0  7168.0 18816.0               0.802   2.021   2.585   2.627
 19072.0 13824.0  8512.0 19008.0               0.815   2.050   2.546   2.636
 19712.0 13632.0 11968.0 19008.0               0.831   2.030   2.568   2.620
 20480.0 12672.0 11712.0 19520.0               0.851   2.050   2.575   2.623
 21824.0 12032.0 12672.0 20032.0               0.786   2.034   2.575   2.617
 22016.0 11328.0 14592.0 20224.0               0.835   2.046   2.578   2.643
 23104.0 11072.0 14400.0 20736.0               0.815   2.040   2.568   2.627
 24320.0 10752.0 15104.0 20608.0               0.815   2.053   2.588   2.636
 24896.0 10496.0 15168.0 21120.0               0.880   2.021   2.581   2.633
 26304.0  9856.0 14848.0 21312.0               0.780   2.024   2.575   2.633
 27776.0  9536.0 15232.0 21440.0               0.809   2.034   2.591   2.610
 28672.0  9280.0 15616.0 21312.0               0.735   2.024   2.588   2.646
 28864.0  9408.0 17728.0 21504.0               0.825   2.021   2.591   2.620
 29440.0  8768.0 18112.0 21440.0               0.848   2.046   2.565   2.643
 29760.0  7872.0 19008.0 21888.0               0.825   2.040   2.598   2.614
 30144.0  7360.0 19840.0 22016.0               0.722   2.056   2.591   2.623
 30784.0  6400.0 20672.0 21952.0               0.812   2.046   2.601   2.627
 31040.0  5568.0 20864.0 22016.0               0.796   2.037   2.581   2.633
 31232.0  4480.0 22272.0 22080.0               0.844   2.034   2.607   2.627
 31424.0  3072.0 23168.0 22336.0               0.732   2.040   2.594   2.623
 31424.0  3328.0 24384.0 22272.0               0.793   2.030   2.598   2.614
 31424.0  2880.0 23936.0 22400.0               0.732   2.063   2.581   2.617
 31552.0  2688.0 24192.0 22400.0               0.809   2.056   2.578   2.614
 31680.0  2432.0 24128.0 22272.0               0.857   2.050   2.572   2.610
 32000.0  2624.0 25088.0 22528.0               0.819   2.050   2.604   2.643
 32000.0  2432.0 24960.0 22464.0               0.864   2.046   2.594   2.630
 32320.0  2368.0 25024.0 22464.0               0.848   2.046   2.588   2.636
 32256.0  1984.0 25472.0 22720.0               0.783   2.059   2.607   2.630
 32256.0  2048.0 25856.0 22784.0               0.793   2.017   2.617   2.643
 32256.0  1408.0 25856.0 22976.0               0.732   2.056   2.601   2.636
 32256.0   832.0 26752.0 22720.0               0.744   2.040   2.607   2.649
 32384.0     0.0 26752.0 22720.0               0.886   2.046   2.610   2.604
 32256.0     0.0 26624.0 22848.0               0.860   2.050   2.601   2.636
 32128.0     0.0 26752.0 22848.0               0.831   2.066   2.607   2.601
 31936.0     0.0 27328.0 22592.0               0.870   2.059   2.614   2.604
 31936.0     0.0 27648.0 22336.0               0.838   2.069   2.607   2.627
 31808.0     0.0 27968.0 21760.0               0.844   2.069   2.598   2.633
 32000.0     0.0 28160.0 21440.0               0.796   2.066   2.623   2.630
 32000.0     0.0 28416.0 21376.0               0.799   2.053   2.610   2.636
 32064.0     0.0 28544.0 21632.0               0.793   2.063   2.581   2.630
 32064.0     0.0 28480.0 21568.0               0.848   2.030   2.623   2.620
 32000.0     0.0 28224.0 21312.0               0.728   2.059   2.620   2.627
 31936.0     0.0 27840.0 21056.0               0.851   2.040   2.610   2.623
 32128.0     0.0 27200.0 20992.0               0.844   2.043   2.588   2.623
 31936.0     0.0 27008.0 20544.0               0.860   2.063   2.594   2.607
 31936.0     0.0 26944.0 20480.0               0.854   2.066   2.598   2.604
 31936.0     0.0 26816.0 20352.0               0.828   2.056   2.620   2.630
 32128.0     0.0 26624.0 20416.0               0.851   2.046   2.630   2.627
 31936.0     0.0 26496.0 20352.0               0.867   2.069   2.591   2.623
 31872.0     0.0 26176.0 20032.0               0.786   2.063   2.623   2.636
 31616.0     0.0 25984.0 20032.0               0.773   2.040   2.623   2.643
 31616.0     0.0 25664.0 20224.0               0.812   2.066   2.588   2.630
 31616.0     0.0 25472.0 20416.0               0.877   2.034   2.636   2.610
 31744.0     0.0 25152.0 20544.0               0.773   2.072   2.601   2.623
 31552.0     0.0 25344.0 20224.0               0.848   2.056   2.617   2.585
 31680.0     0.0 24896.0 20224.0               0.831   2.079   2.610   2.623
 31744.0     0.0 24768.0 20096.0               0.822   2.079   2.591   2.601
 31808.0     0.0 24192.0 20160.0               0.825   2.082   2.607   2.643
 31744.0     0.0 23872.0 19840.0               0.870   2.072   2.598   2.607
 31808.0     0.0 23360.0 19776.0               0.841   2.082   2.617   2.607
 31872.0     0.0 23232.0 19968.0               0.780   2.075   2.623   2.639
 31936.0     0.0 23232.0 19648.0               0.744   2.063   2.617   2.633
 32064.0     0.0 22976.0 19776.0               0.790   2.069   2.598   2.639
 32192.0     0.0 22912.0 19904.0               0.751   2.063   2.598   2.633
 32320.0   704.0 22848.0 19968.0               0.835   2.050   2.607   2.614
 32448.0  1600.0 22592.0 20032.0               0.860   2.059   2.607   2.620
 32384.0  1408.0 22464.0 20352.0               0.835   2.066   2.604   2.620
 32512.0  2048.0 22528.0 20416.0               0.838   2.027   2.614   2.614
 32640.0  2880.0 22272.0 20544.0               0.819   2.072   2.627   2.633
 32640.0  2880.0 21824.0 20608.0               0.841   2.082   2.575   2.646
 32768.0  3264.0 21696.0 20288.0               0.851   2.082   2.610   2.601
 32832.0  3584.0 21632.0 20416.0               0.738   2.082   2.620   2.633
 32832.0  3904.0 21504.0 20224.0               0.706   2.075   2.565   2.649
 32960.0  3520.0 21184.0 20096.0               0.764   2.056   2.588   2.636
 33088.0  3584.0 21440.0 20352.0               0.841   2.056   2.614   2.607
 33088.0  3712.0 21440.0 20352.0               0.767   2.085   2.591   2.639
 33152.0  3776.0 21056.0 20480.0               0.857   2.063   2.617   2.630
 33088.0  3904.0 20800.0 20352.0               0.757   2.079   2.585   2.646
 33280.0  3904.0 20800.0 20352.0               0.867   2.075   2.610   2.620
 33216.0  3904.0 20416.0 20480.0               0.835   2.082   2.598   2.636
 33216.0  4032.0 20352.0 20608.0               0.841   2.085   2.591   2.646
 33216.0  4416.0 20288.0 20544.0               0.819   2.085   2.601   2.646
 33344.0  4672.0 20224.0 20224.0               0.783   2.088   2.588   2.633
 33344.0  4800.0 20288.0 20160.0               0.822   2.079   2.604   2.649
 33536.0  4672.0 20224.0 20032.0               0.770   2.095   2.565   2.652
