 TopoDir BaixDir TopoEsq TopoDir             TrasDir TrasEsq FrenDir FrenEsq
 32384.0 26624.0 16832.0 33472.0               1.299   2.401   2.707   2.543
 32384.0 26688.0 16896.0 33536.0               1.231   2.411   2.707   2.565
 32384.0 26688.0 16896.0 33472.0               1.218   2.417   2.672   2.530
 32448.0 26688.0 17088.0 33472.0               1.238   2.398   2.697   2.546
 32448.0 26624.0 17216.0 33472.0               1.273   2.411   2.701   2.507
 32448.0 26688.0 17152.0 33472.0               1.099   2.414   2.704   2.539
 32448.0 26688.0 17152.0 33472.0               1.254   2.407   2.691   2.549
 32512.0 26688.0 17088.0 33536.0               1.170   2.411   2.691   2.536
 32576.0 26688.0 17024.0 33536.0               1.189   2.414   2.704   2.527
 32512.0 26624.0 17024.0 33472.0               1.154   2.388   2.681   2.539
 32576.0 26560.0 17024.0 33472.0               1.202   2.388   2.681   2.520
 32576.0 26624.0 16960.0 33408.0               1.225   2.388   2.668   2.543
 32640.0 26624.0 17088.0 33472.0               1.215   2.401   2.685   2.543
 32640.0 26624.0 17152.0 33472.0               1.186   2.404   2.668   2.520
 32704.0 26624.0 17152.0 33536.0               0.993   2.369   2.668   2.517
 32704.0 26624.0 17152.0 33536.0               1.147   2.398   2.668   2.523
 32704.0 26624.0 17152.0 33472.0               1.060   2.369   2.665   2.517
 32640.0 26624.0 17152.0 33536.0               0.960   2.327   2.646   2.507
 32640.0 26688.0 17152.0 33472.0               0.828   2.340   2.575   2.481
 32832.0 26688.0 17216.0 33472.0               0.954   2.356   2.607   2.491
 32832.0 26688.0 17152.0 33536.0               0.699   2.369   2.614   2.452
 32768.0 26688.0 17152.0 33472.0               0.844   2.340   2.649   2.533
 32768.0 26752.0 17280.0 33536.0               0.848   2.369   2.685   2.539
 32704.0 26688.0 17216.0 33472.0               0.886   2.346   2.659   2.543
 32704.0 26752.0 17216.0 33472.0               0.877   2.369   2.633   2.527
 32768.0 26624.0 17280.0 33536.0               0.925   2.375   2.681   2.539
 32768.0 26624.0 17152.0 33472.0               1.096   2.401   2.678   2.552
 32704.0 26688.0 17152.0 33472.0               0.986   2.404   2.668   2.552
 32832.0 26688.0 17152.0 33408.0               1.005   2.391   2.685   2.536
 32896.0 26688.0 17152.0 33472.0               0.947   2.388   2.681   2.488
 32896.0 26752.0 17088.0 33472.0               0.616   2.278   2.494   2.440
 32832.0 26752.0 16832.0 33472.0               0.703   2.291   2.620   2.469
 32896.0 26816.0 16768.0 33472.0               1.054   2.398   2.691   2.533
 32960.0 26816.0 16704.0 33472.0               1.138   2.356   2.685   2.549
 32832.0 26880.0 16640.0 33472.0               1.118   2.398   2.665   2.530
 32832.0 26944.0 16640.0 33408.0               0.870   2.369   2.643   2.530
 32832.0 26944.0 16576.0 33408.0               1.096   2.385   2.681   2.549
 32896.0 26944.0 16576.0 33344.0               1.015   2.407   2.688   2.546
 32896.0 26880.0 16576.0 33280.0               1.070   2.362   2.678   2.530
 32896.0 26880.0 16576.0 33280.0               0.999   2.375   2.675   2.498
 33024.0 26880.0 16640.0 33216.0               0.989   2.388   2.630   2.520
 32960.0 26880.0 16576.0 33216.0               1.057   2.398   2.681   2.536
 32960.0 26880.0 16576.0 33216.0               1.073   2.407   2.691   2.539
 32960.0 26880.0 16640.0 33280.0               1.138   2.388   2.691   2.559
 32896.0 26816.0 16704.0 33280.0               1.105   2.398   2.678   2.546
 32896.0 26816.0 16704.0 33280.0               1.083   2.411   2.681   2.530
 32960.0 26880.0 16704.0 33280.0               0.976   2.388   2.675   2.523
 32960.0 26880.0 16704.0 33280.0               0.880   2.369   2.646   2.514
 33024.0 26880.0 16768.0 33280.0               1.092   2.401   2.668   2.485
 33088.0 26944.0 16704.0 33280.0               0.951   2.388   2.675   2.510
 33152.0 26880.0 16768.0 33344.0               0.960   2.346   2.633   2.507
 33088.0 26880.0 16704.0 33344.0               0.947   2.385   2.662   2.523
 33152.0 26944.0 16704.0 33280.0               0.857   2.272   2.659   2.472
 33088.0 26880.0 16704.0 33280.0               0.909   2.382   2.668   2.520
 33088.0 26880.0 16704.0 33344.0               1.070   2.414   2.675   2.546
 33024.0 26816.0 16768.0 33344.0               1.086   2.398   2.685   2.549
 33024.0 26816.0 16832.0 33344.0               1.063   2.411   2.639   2.536
 33152.0 26816.0 16832.0 33344.0               1.083   2.356   2.678   2.520
 33088.0 26816.0 16832.0 33344.0               1.063   2.382   2.668   2.533
 33152.0 26816.0 16896.0 33344.0               1.086   2.378   2.678   2.546
 33152.0 26816.0 16896.0 33344.0               1.112   2.391   2.681   2.530
 33152.0 26944.0 16896.0 33280.0               1.041   2.382   2.646   2.510
 33216.0 26880.0 16896.0 33280.0               0.899   2.378   2.675   2.527
 33216.0 26944.0 16896.0 33344.0               0.986   2.388   2.659   2.539
 33280.0 26816.0 16896.0 33280.0               0.951   2.385   2.668   2.494
 33280.0 26944.0 17024.0 33280.0               1.034   2.378   2.636   2.514
 33280.0 26944.0 16960.0 33344.0               1.060   2.388   2.672   2.485
 33408.0 26880.0 16896.0 33280.0               0.754   2.327   2.630   2.372
 33344.0 26880.0 16896.0 33280.0               0.802   2.391   2.678   2.520
 33344.0 26880.0 17024.0 33280.0               0.941   2.359   2.630   2.530
 33408.0 26816.0 16896.0 33280.0               1.051   2.365   2.691   2.552
 33344.0 26880.0 16960.0 33280.0               1.105   2.398   2.701   2.536
 33472.0 26816.0 16896.0 33344.0               1.102   2.398   2.681   2.539
 33472.0 26880.0 16896.0 33280.0               1.099   2.385   2.688   2.539
 33472.0 26880.0 16960.0 33344.0               1.044   2.382   2.636   2.446
 33408.0 26816.0 16832.0 33344.0               0.725   2.349   2.568   2.488
 33408.0 26880.0 16832.0 33344.0               0.641   2.307   2.607   2.501
 33408.0 26816.0 16896.0 33344.0               0.622   2.259   2.614   2.485
 33408.0 26752.0 16960.0 33408.0               1.025   2.394   2.672   2.520
 33472.0 26752.0 17024.0 33408.0               0.925   2.365   2.681   2.520
 33472.0 26816.0 16960.0 33472.0               1.002   2.375   2.659   2.539
 33472.0 26816.0 16896.0 33472.0               0.880   2.378   2.659   2.488
 33536.0 26880.0 16896.0 33536.0               0.886   2.385   2.659   2.494
 33472.0 26816.0 16960.0 33536.0               0.777   2.307   2.623   2.472
 33472.0 26880.0 16832.0 33472.0               0.777   2.343   2.633   2.465
 33536.0 26816.0 16704.0 33536.0               0.606   2.278   2.681   2.552
 33600.0 26880.0 16704.0 33536.0               1.234   2.407   2.701   2.575
 33536.0 26880.0 16704.0 33536.0               1.044   2.330   2.607   2.494
 33536.0 26944.0 16640.0 33536.0               0.886   2.237   2.601   2.481
 33536.0 26816.0 16512.0 33536.0               0.893   2.369   2.594   2.465
 33472.0 26880.0 16512.0 33536.0               1.018   2.394   2.668   2.546
 33472.0 26944.0 16576.0 33536.0               1.086   2.391   2.678   2.536
 33536.0 26944.0 16448.0 33536.0               0.815   2.327   2.623   2.407
 33536.0 27008.0 16256.0 33536.0               0.677   2.253   2.549   2.478
 33536.0 27008.0 16384.0 33536.0               0.645   2.262   2.604   2.446
 33536.0 27008.0 16448.0 33536.0               0.706   2.246   2.565   2.433
 33536.0 27072.0 16512.0 33536.0               1.263   2.417   2.701   2.562
 33472.0 27072.0 16512.0 33472.0               1.299   2.430   2.688   2.549
 33472.0 27136.0 16640.0 33536.0               1.221   2.411   2.691   2.549
 33472.0 27072.0 16704.0 33536.0               1.289   2.423   2.691   2.572
 33536.0 27136.0 16768.0 33536.0               1.067   2.411   2.707   2.514
 33472.0 27200.0 16896.0 33536.0               1.167   2.411   2.697   2.543
 33536.0 27136.0 16832.0 33536.0               1.118   2.417   2.681   2.552
 33472.0 27200.0 16832.0 33472.0               1.173   2.417   2.649   2.562
 33472.0 27136.0 16832.0 33536.0               1.109   2.398   2.694   2.549
 33472.0 27136.0 16768.0 33536.0               0.983   2.369   2.617   2.536
 33536.0 27200.0 16704.0 33536.0               0.954   2.378   2.668   2.504
 33536.0 27136.0 16768.0 33536.0               0.970   2.391   2.685   2.552
 33536.0 27200.0 16832.0 33536.0               1.157   2.417   2.672   2.568
 33536.0 27200.0 16640.0 33536.0               0.996   2.372   2.675   2.543
 33536.0 27200.0 16576.0 33536.0               0.606   2.253   2.575   2.456
 33536.0 27200.0 16640.0 33536.0               0.628   2.269   2.594   2.452
 33472.0 27200.0 16640.0 33536.0               0.651   2.278   2.559   2.417
 33344.0 27136.0 16448.0 33536.0               0.654   2.291   2.591   2.446
 33408.0 27200.0 16576.0 33536.0               0.651   2.262   2.594   2.436
 33408.0 27136.0 16640.0 33472.0               0.786   2.365   2.646   2.533
 33472.0 27136.0 16704.0 33536.0               0.680   2.327   2.601   2.527
 33472.0 27200.0 16704.0 33600.0               0.780   2.301   2.633   2.488
 33408.0 27200.0 16704.0 33472.0               0.690   2.333   2.646   2.481
 33472.0 27136.0 16704.0 33472.0               0.786   2.333   2.636   2.517
 33536.0 27200.0 16896.0 33536.0               0.690   2.353   2.636   2.494
 33536.0 27200.0 16832.0 33472.0               0.719   2.333   2.636   2.485
 33472.0 27200.0 16768.0 33472.0               0.641   2.327   2.598   2.514
 33472.0 27136.0 16768.0 33536.0               0.754   2.349   2.627   2.501
 33536.0 27200.0 16704.0 33536.0               0.661   2.333   2.623   2.501
 33536.0 27200.0 16768.0 33536.0               0.777   2.327   2.623   2.485
