 TopoDir BaixDir TopoEsq TopoDir             TrasDir TrasEsq FrenDir FrenEsq
 36096.0 27072.0 20096.0 33792.0               0.703   2.224   2.594   2.443
 36096.0 27264.0 20096.0 33792.0               0.690   2.343   2.604   2.491
 36032.0 27264.0 20096.0 33792.0               0.648   2.278   2.588   2.440
 36096.0 27264.0 20032.0 33856.0               1.047   2.340   2.623   2.459
 36096.0 27392.0 20096.0 33792.0               0.690   2.243   2.530   2.446
 36224.0 27392.0 20160.0 33728.0               0.719   2.237   2.539   2.423
 36160.0 27392.0 20224.0 33856.0               1.218   2.295   2.604   2.462
 36224.0 27392.0 20160.0 33792.0               0.683   2.298   2.572   2.488
 36288.0 27392.0 20224.0 33792.0               0.706   2.278   2.575   2.646
 36224.0 27520.0 20224.0 33792.0               1.824   2.510   2.749   2.549
 36288.0 27456.0 20288.0 33792.0               0.751   2.414   2.610   2.514
 36288.0 27392.0 20352.0 33856.0               0.651   2.340   2.604   2.481
 36288.0 27456.0 20416.0 33728.0               0.677   2.314   2.585   2.501
 36352.0 27456.0 20352.0 33792.0               0.670   2.301   2.546   2.430
 36288.0 27392.0 20608.0 33792.0               0.674   2.295   2.510   2.411
 36288.0 27456.0 20544.0 33728.0               0.693   2.237   2.562   2.475
 36288.0 27520.0 20672.0 33728.0               0.735   2.262   2.617   2.440
 36288.0 27520.0 20544.0 33728.0               0.680   2.285   2.575   2.465
 36224.0 27584.0 20544.0 33792.0               0.690   2.288   2.591   2.472
 36288.0 27584.0 20480.0 33792.0               0.783   2.253   2.565   2.430
 36288.0 27520.0 20608.0 33792.0               0.696   2.262   2.565   2.446
 36224.0 27520.0 20608.0 33792.0               0.793   2.275   2.575   2.469
 36288.0 27648.0 20608.0 33792.0               0.699   2.275   2.591   2.478
 36352.0 27520.0 20672.0 33856.0               0.706   2.246   2.552   2.440
 36288.0 27584.0 20672.0 33856.0               0.854   2.272   2.485   2.443
 36288.0 27520.0 20736.0 33856.0               0.735   2.269   2.585   2.430
 36288.0 27520.0 20864.0 33792.0               0.770   2.220   2.533   2.446
 36352.0 27520.0 20864.0 33856.0               0.696   2.230   2.559   2.436
 36352.0 27520.0 20992.0 33856.0               0.780   2.359   2.459   2.565
 36352.0 27520.0 20992.0 33792.0               0.712   2.304   2.617   2.498
 36416.0 27520.0 20928.0 33856.0               0.696   2.304   2.649   2.465
 36416.0 27648.0 20864.0 33792.0               0.699   2.324   2.565   2.465
 36416.0 27520.0 20864.0 33792.0               0.744   2.224   2.507   2.443
 36416.0 27648.0 20928.0 33792.0               0.773   2.233   2.510   2.459
 36480.0 27712.0 20864.0 33792.0               1.528   2.462   2.681   2.546
 36416.0 27712.0 21184.0 33792.0               0.838   2.462   2.714   2.575
 36416.0 27712.0 21184.0 33856.0               1.047   2.382   2.614   2.488
 36416.0 27648.0 21120.0 33792.0               0.680   2.243   2.565   2.452
 36480.0 27584.0 21120.0 33792.0               0.699   2.266   2.572   2.436
 36416.0 27584.0 21184.0 33792.0               0.696   2.282   2.556   2.446
 36416.0 27648.0 21184.0 33856.0               0.722   2.259   2.530   2.420
 36416.0 27648.0 21184.0 33792.0               0.732   2.253   2.565   2.436
 36416.0 27712.0 21120.0 33856.0               0.728   2.266   2.536   2.430
 36480.0 27648.0 21120.0 33856.0               0.722   2.237   2.517   2.417
 36416.0 27712.0 21184.0 33856.0               0.725   2.269   2.562   2.446
 36416.0 27648.0 21184.0 33856.0               0.725   2.256   2.575   2.488
 36416.0 27648.0 21120.0 33856.0               0.728   2.324   2.591   2.485
 36416.0 27712.0 21184.0 33920.0               0.719   2.314   2.601   2.556
 36480.0 27712.0 21184.0 33856.0               0.722   2.249   2.549   2.462
 36416.0 27712.0 21248.0 33856.0               0.741   2.272   2.588   2.440
 36480.0 27712.0 21312.0 33856.0               1.653   2.510   2.743   2.585
 36480.0 27776.0 21248.0 33920.0               0.706   2.246   2.581   2.423
 36416.0 27840.0 21120.0 33920.0               0.690   2.266   2.562   2.485
 36416.0 27840.0 21056.0 33984.0               0.686   2.288   2.588   2.459
 36416.0 27904.0 21056.0 33920.0               0.703   2.288   2.591   2.452
 36416.0 27904.0 21056.0 33920.0               0.706   2.230   2.559   2.443
 36416.0 27904.0 21120.0 34048.0               0.725   2.291   2.559   2.430
 36544.0 27904.0 21056.0 33920.0               0.712   2.456   2.588   2.462
 36480.0 27904.0 20992.0 33920.0               0.748   2.214   2.510   2.469
 36480.0 27904.0 20928.0 33984.0               0.773   2.272   2.610   2.452
 36480.0 27904.0 20992.0 33984.0               0.683   2.256   2.568   2.436
 36480.0 27968.0 20864.0 33920.0               0.719   2.282   2.588   2.420
 36480.0 27904.0 20864.0 33984.0               0.744   2.253   2.549   2.459
 36480.0 27968.0 20928.0 33920.0               0.761   2.220   2.536   2.420
 36416.0 27968.0 20864.0 33920.0               0.728   2.224   2.552   2.433
 36480.0 27968.0 20928.0 33920.0               0.744   2.153   2.533   2.430
 36416.0 27968.0 20864.0 33920.0               0.728   2.301   2.572   2.420
 36416.0 27904.0 20800.0 33920.0               0.712   2.307   2.594   2.494
 36416.0 27968.0 20672.0 33920.0               0.715   2.272   2.588   2.481
 36416.0 27968.0 20672.0 33920.0               0.722   2.220   2.572   2.459
 36416.0 27904.0 20800.0 33920.0               0.748   2.211   2.591   2.446
 36416.0 27968.0 20928.0 33984.0               0.764   2.249   2.565   2.469
 36416.0 27904.0 20928.0 33984.0               0.748   2.243   2.556   2.436
 36416.0 27904.0 20992.0 33984.0               0.748   2.301   2.565   2.436
 36480.0 27776.0 20928.0 33920.0               0.751   2.243   2.556   2.446
 36480.0 27712.0 20992.0 33984.0               0.799   2.211   2.488   2.443
 36480.0 27712.0 21056.0 33984.0               0.741   2.256   2.530   2.430
 36416.0 27648.0 21056.0 33984.0               0.754   2.204   2.533   2.407
 36480.0 27584.0 20928.0 33984.0               1.138   2.398   2.536   2.440
 36480.0 27584.0 20928.0 34048.0               2.040   2.539   2.804   2.678
 36608.0 27584.0 20864.0 34048.0               2.043   2.552   2.823   2.685
 36544.0 27648.0 20800.0 34112.0               2.759   2.668   2.797   2.688
 36608.0 27648.0 20928.0 34048.0               2.266   2.572   2.794   2.623
 36608.0 27648.0 20864.0 34048.0               1.698   2.507   2.733   2.588
 36544.0 27712.0 20864.0 34048.0               1.363   2.443   2.707   2.556
 36608.0 27712.0 20864.0 34048.0               0.902   2.394   2.652   2.520
 36672.0 27648.0 20800.0 34048.0               1.289   2.440   2.701   2.549
 36672.0 27712.0 20864.0 34048.0               1.296   2.414   2.701   2.559
 36608.0 27712.0 20864.0 34048.0               1.328   2.382   2.649   2.530
 36672.0 27712.0 21056.0 34112.0               0.802   2.359   2.643   2.469
 36608.0 27712.0 20992.0 34048.0               0.783   2.382   2.623   2.469
 36608.0 27712.0 20992.0 34048.0               1.163   2.401   2.649   2.465
 36608.0 27648.0 20992.0 33984.0               1.031   2.349   2.614   2.481
 36672.0 27712.0 20800.0 34048.0               0.616   2.349   2.572   2.472
 36672.0 27712.0 20864.0 34048.0               1.502   2.446   2.675   2.523
 36736.0 27648.0 20800.0 34048.0               0.828   2.304   2.607   2.491
 36736.0 27712.0 20928.0 33984.0               0.725   2.336   2.601   2.465
 36672.0 27776.0 20928.0 33984.0               0.612   2.346   2.601   2.452
 36672.0 27712.0 20800.0 34048.0               0.641   2.317   2.607   2.462
 36672.0 27648.0 20800.0 34048.0               0.703   2.262   2.543   2.407
 36736.0 27712.0 20736.0 34048.0               0.690   2.259   2.546   2.430
 36672.0 27648.0 20736.0 34048.0               0.683   2.288   2.585   2.504
 36608.0 27648.0 20736.0 34112.0               0.635   2.307   2.604   2.481
 36736.0 27648.0 20736.0 34048.0               0.641   2.311   2.578   2.469
 36608.0 27648.0 20736.0 33984.0               0.670   2.243   2.585   2.514
 36608.0 27648.0 20736.0 33984.0               0.654   2.298   2.652   2.449
 36608.0 27648.0 20800.0 33984.0               0.947   2.343   2.620   2.485
 36608.0 27520.0 20672.0 33984.0               0.709   2.317   2.594   2.469
 36608.0 27520.0 20736.0 33984.0               0.680   2.275   2.562   2.465
 36608.0 27520.0 20672.0 33984.0               0.699   2.237   2.581   2.539
 36544.0 27520.0 20608.0 34048.0               0.654   2.301   2.568   2.498
 36544.0 27584.0 20544.0 34112.0               0.670   2.301   2.601   2.449
 36608.0 27584.0 20544.0 34048.0               0.664   2.291   2.604   2.504
 36544.0 27648.0 20544.0 34048.0               0.677   2.282   2.572   2.536
 36608.0 27648.0 20480.0 34048.0               0.709   2.188   2.543   2.440
 36480.0 27648.0 20480.0 34048.0               0.664   2.285   2.585   2.475
 36544.0 27648.0 20480.0 34048.0               0.719   2.282   2.536   2.417
 36480.0 27648.0 20480.0 34048.0               0.728   2.262   2.562   2.388
 36544.0 27712.0 20544.0 33984.0               0.732   2.211   2.523   2.446
 36480.0 27776.0 20544.0 34048.0               0.744   2.217   2.501   2.469
 36416.0 27776.0 20480.0 34048.0               1.569   2.385   2.681   2.575
 36416.0 27776.0 20160.0 34048.0               0.712   2.382   2.652   2.520
 36480.0 27776.0 20160.0 34048.0               0.680   2.346   2.585   2.465
 36480.0 27712.0 20224.0 34048.0               0.657   2.295   2.523   2.469
 36416.0 27648.0 20544.0 34048.0               0.664   2.362   2.633   2.520
 36352.0 27648.0 20544.0 34048.0               0.732   2.230   2.501   2.394
 36352.0 27648.0 20544.0 34048.0               0.773   2.185   2.481   2.369
