x_accel,y_accel,z_accel,Year/Month/Day,Hours:Minutes:Seconds.Milliseconds
-18.0,27.0,-1007.0,2021/03/25,00:55:45.861662
-19.0,23.0,-1005.0,2021/03/25,00:55:45.877900
-19.0,22.0,-1001.0,2021/03/25,00:55:45.894149
-16.0,21.0,-999.0,2021/03/25,00:55:45.910401
-15.0,23.0,-1002.0,2021/03/25,00:55:45.926644
-14.0,20.0,-994.0,2021/03/25,00:55:45.942881
-19.0,23.0,-997.0,2021/03/25,00:55:45.959122
-16.0,23.0,-998.0,2021/03/25,00:55:45.975362
-19.0,24.0,-998.0,2021/03/25,00:55:45.991598
-19.0,28.0,-1002.0,2021/03/25,00:55:46.007925
-18.0,25.0,-1001.0,2021/03/25,00:55:46.024363
-19.0,28.0,-1000.0,2021/03/25,00:55:46.040613
-15.0,32.0,-1006.0,2021/03/25,00:55:46.056853
-17.0,27.0,-999.0,2021/03/25,00:55:46.073097
-12.0,33.0,-1003.0,2021/03/25,00:55:46.089345
-17.0,31.0,-1006.0,2021/03/25,00:55:46.105586
-18.0,33.0,-1002.0,2021/03/25,00:55:46.121822
-17.0,34.0,-1000.0,2021/03/25,00:55:46.138076
-14.0,31.0,-996.0,2021/03/25,00:55:46.154327
-15.0,28.0,-998.0,2021/03/25,00:55:46.170568
-16.0,28.0,-1006.0,2021/03/25,00:55:46.186809
-16.0,28.0,-1006.0,2021/03/25,00:55:46.203047
-20.0,28.0,-1006.0,2021/03/25,00:55:46.219287
-20.0,27.0,-1005.0,2021/03/25,00:55:46.235537
-16.0,27.0,-1002.0,2021/03/25,00:55:46.251776
-18.0,31.0,-1004.0,2021/03/25,00:55:46.268030
-18.0,25.0,-999.0,2021/03/25,00:55:46.284299
-18.0,29.0,-991.0,2021/03/25,00:55:46.300539
-21.0,25.0,-996.0,2021/03/25,00:55:46.316800
-18.0,25.0,-996.0,2021/03/25,00:55:46.333053
-17.0,23.0,-998.0,2021/03/25,00:55:46.349295
-19.0,27.0,-1008.0,2021/03/25,00:55:46.365537
-19.0,31.0,-1004.0,2021/03/25,00:55:46.381776
-16.0,27.0,-1007.0,2021/03/25,00:55:46.398027
-21.0,24.0,-1004.0,2021/03/25,00:55:46.414318
-16.0,23.0,-1000.0,2021/03/25,00:55:46.430552
-13.0,23.0,-1003.0,2021/03/25,00:55:46.446803
-11.0,26.0,-1000.0,2021/03/25,00:55:46.463044
