TrasDir: 1819882.2
TrasEsq: 1256316.5
FrenteDir: -4251331.0
FrenteEsq: 2790065.9



TrasDir: 1814418.6
TrasEsq: 1252364.8
FrenteDir: -4251574.2
FrenteEsq: 2790036.8



TrasDir: 1812433.5
TrasEsq: 1250927.0
FrenteDir: -4251550.5
FrenteEsq: 2789927.6



TrasDir: 1812573.7
TrasEsq: 1253041.8
FrenteDir: -4251802.7
FrenteEsq: 2789839.2



TrasDir: 1810034.8
TrasEsq: 1250908.8
FrenteDir: -4252160.7
FrenteEsq: 2789742.8



TrasDir: 2019764.2
TrasEsq: 1332333.5
FrenteDir: -4204629.9
FrenteEsq: 2789613.3



TrasDir: 2056161.8
TrasEsq: 1118535.4
FrenteDir: -4187326.3
FrenteEsq: 2788889.6



TrasDir: 2031801.8
TrasEsq: 1066159.0
FrenteDir: -4189687.7
FrenteEsq: 2788904.3



TrasDir: 2029710.7
TrasEsq: 1063212.8
FrenteDir: -4189865.5
FrenteEsq: 2788888.1



TrasDir: 2026462.8
TrasEsq: 1059440.0
FrenteDir: -4190049.0
FrenteEsq: 2788983.2



TrasDir: 2100707.9
TrasEsq: 1309650.6
FrenteDir: -4360601.6
FrenteEsq: 2776895.8



TrasDir: 2099577.5
TrasEsq: 1414033.5
FrenteDir: -4755172.2
FrenteEsq: 2743461.1



TrasDir: 1989062.4
TrasEsq: 1414077.1
FrenteDir: -4756183.8
FrenteEsq: 2745495.2



TrasDir: 2095008.5
TrasEsq: 1343462.6
FrenteDir: -4762016.9
FrenteEsq: 2743991.8



TrasDir: 2092939.7
TrasEsq: 1414130.0
FrenteDir: -4753742.9
FrenteEsq: 2744454.8



TrasDir: 2132365.5
TrasEsq: 1399987.3
FrenteDir: -4316403.6
FrenteEsq: 2556104.5



TrasDir: 2140271.6
TrasEsq: 1402464.6
FrenteDir: -4276056.5
FrenteEsq: 2246296.6



TrasDir: 2140309.4
TrasEsq: 1402663.5
FrenteDir: -4277606.9
FrenteEsq: 2243860.3



TrasDir: 2140337.7
TrasEsq: 1404722.9
FrenteDir: -4277345.6
FrenteEsq: 2240527.5



TrasDir: 2140402.5
TrasEsq: 1402683.2
FrenteDir: -4278067.6
FrenteEsq: 2247834.2



