x_accel,y_accel,z_accel,Year/Month/Day,Hours:Minutes:Seconds.Milliseconds
-29.0,1042.0,-152.0,2021/03/24,12:34:40.047393
-35.0,1041.0,-155.0,2021/03/24,12:34:40.063627
-40.0,1039.0,-147.0,2021/03/24,12:34:40.079864
-35.0,1044.0,-145.0,2021/03/24,12:34:40.096109
-38.0,1046.0,-145.0,2021/03/24,12:34:40.112345
-32.0,1044.0,-145.0,2021/03/24,12:34:40.128580
-32.0,1041.0,-145.0,2021/03/24,12:34:40.144812
-30.0,1044.0,-140.0,2021/03/24,12:34:40.161052
-28.0,1047.0,-137.0,2021/03/24,12:34:40.177294
-31.0,1041.0,-132.0,2021/03/24,12:34:40.193576
-29.0,1039.0,-141.0,2021/03/24,12:34:40.209816
-31.0,1036.0,-136.0,2021/03/24,12:34:40.226062
-30.0,1041.0,-140.0,2021/03/24,12:34:40.242286
-26.0,1039.0,-144.0,2021/03/24,12:34:40.258519
-32.0,1046.0,-140.0,2021/03/24,12:34:40.274757
-32.0,1036.0,-141.0,2021/03/24,12:34:40.290990
-32.0,1044.0,-138.0,2021/03/24,12:34:40.307221
-36.0,1048.0,-145.0,2021/03/24,12:34:40.323453
-30.0,1044.0,-143.0,2021/03/24,12:34:40.339689
-28.0,1041.0,-147.0,2021/03/24,12:34:40.355921
-32.0,1041.0,-136.0,2021/03/24,12:34:40.372147
-37.0,1037.0,-144.0,2021/03/24,12:34:40.388376
-35.0,1041.0,-144.0,2021/03/24,12:34:40.404607
-34.0,1041.0,-137.0,2021/03/24,12:34:40.420862
-32.0,1048.0,-141.0,2021/03/24,12:34:40.437100
-37.0,1038.0,-148.0,2021/03/24,12:34:40.453341
-33.0,1045.0,-152.0,2021/03/24,12:34:40.469572
-35.0,1049.0,-147.0,2021/03/24,12:34:40.485820
-35.0,1045.0,-145.0,2021/03/24,12:34:40.502091
-32.0,1046.0,-145.0,2021/03/24,12:34:40.518324
-28.0,1045.0,-149.0,2021/03/24,12:34:40.534557
-30.0,1040.0,-149.0,2021/03/24,12:34:40.550789
-34.0,1040.0,-153.0,2021/03/24,12:34:40.567033
-33.0,1043.0,-152.0,2021/03/24,12:34:40.583277
-32.0,1043.0,-145.0,2021/03/24,12:34:40.599527
-33.0,1039.0,-147.0,2021/03/24,12:34:40.615759
-33.0,1042.0,-143.0,2021/03/24,12:34:40.631999
-31.0,1046.0,-145.0,2021/03/24,12:34:40.648233
-35.0,1041.0,-142.0,2021/03/24,12:34:40.664471
-31.0,1034.0,-137.0,2021/03/24,12:34:40.680723
-31.0,1039.0,-130.0,2021/03/24,12:34:40.696954
-35.0,1037.0,-132.0,2021/03/24,12:34:40.713177
-28.0,1038.0,-131.0,2021/03/24,12:34:40.729419
-31.0,1047.0,-136.0,2021/03/24,12:34:40.745654
-39.0,1046.0,-136.0,2021/03/24,12:34:40.761890
-39.0,1051.0,-137.0,2021/03/24,12:34:40.778127
-38.0,1041.0,-135.0,2021/03/24,12:34:40.794358
-39.0,1037.0,-139.0,2021/03/24,12:34:40.810595
-38.0,1046.0,-145.0,2021/03/24,12:34:40.826863
-35.0,1043.0,-145.0,2021/03/24,12:34:40.843108
-38.0,1045.0,-149.0,2021/03/24,12:34:40.859332
-35.0,1048.0,-150.0,2021/03/24,12:34:40.875574
-35.0,1040.0,-143.0,2021/03/24,12:34:40.891804
-36.0,1044.0,-149.0,2021/03/24,12:34:40.908035
-33.0,1043.0,-145.0,2021/03/24,12:34:40.924280
-31.0,1044.0,-144.0,2021/03/24,12:34:40.940514
-38.0,1042.0,-142.0,2021/03/24,12:34:40.956749
-34.0,1045.0,-139.0,2021/03/24,12:34:40.972992
-33.0,1042.0,-145.0,2021/03/24,12:34:40.989229
-36.0,1044.0,-141.0,2021/03/24,12:34:41.005470
-34.0,1038.0,-136.0,2021/03/24,12:34:41.021706
-37.0,1040.0,-135.0,2021/03/24,12:34:41.037940
-36.0,1040.0,-137.0,2021/03/24,12:34:41.054188
-36.0,1042.0,-137.0,2021/03/24,12:34:41.070424
-36.0,1038.0,-143.0,2021/03/24,12:34:41.086658
-32.0,1037.0,-138.0,2021/03/24,12:34:41.102887
-35.0,1037.0,-135.0,2021/03/24,12:34:41.119117
-34.0,1044.0,-133.0,2021/03/24,12:34:41.135365
-36.0,1044.0,-143.0,2021/03/24,12:34:41.151602
-34.0,1038.0,-134.0,2021/03/24,12:34:41.167847
-35.0,1044.0,-139.0,2021/03/24,12:34:41.184070
-36.0,1040.0,-141.0,2021/03/24,12:34:41.200313
-35.0,1043.0,-141.0,2021/03/24,12:34:41.216563
-36.0,1041.0,-145.0,2021/03/24,12:34:41.232800
-38.0,1040.0,-143.0,2021/03/24,12:34:41.249032
-38.0,1041.0,-145.0,2021/03/24,12:34:41.265313
-43.0,1042.0,-141.0,2021/03/24,12:34:41.281555
-41.0,1042.0,-144.0,2021/03/24,12:34:41.297795
-36.0,1044.0,-142.0,2021/03/24,12:34:41.314032
-33.0,1039.0,-144.0,2021/03/24,12:34:41.330262
-26.0,1042.0,-145.0,2021/03/24,12:34:41.346489
-31.0,1043.0,-146.0,2021/03/24,12:34:41.362732
-32.0,1044.0,-147.0,2021/03/24,12:34:41.378967
-36.0,1044.0,-143.0,2021/03/24,12:34:41.395205
-35.0,1042.0,-136.0,2021/03/24,12:34:41.411429
-39.0,1043.0,-138.0,2021/03/24,12:34:41.427656
-37.0,1044.0,-135.0,2021/03/24,12:34:41.443885
-34.0,1042.0,-138.0,2021/03/24,12:34:41.460123
-33.0,1042.0,-139.0,2021/03/24,12:34:41.476362
-32.0,1039.0,-144.0,2021/03/24,12:34:41.492593
-33.0,1040.0,-146.0,2021/03/24,12:34:41.508830
-31.0,1042.0,-136.0,2021/03/24,12:34:41.525066
-31.0,1043.0,-146.0,2021/03/24,12:34:41.541313
-33.0,1043.0,-143.0,2021/03/24,12:34:41.557552
-33.0,1047.0,-141.0,2021/03/24,12:34:41.573779
-34.0,1040.0,-146.0,2021/03/24,12:34:41.590009
-30.0,1044.0,-142.0,2021/03/24,12:34:41.606241
-33.0,1041.0,-136.0,2021/03/24,12:34:41.622478
-32.0,1046.0,-138.0,2021/03/24,12:34:41.638717
-32.0,1046.0,-145.0,2021/03/24,12:34:41.654951
-30.0,1045.0,-143.0,2021/03/24,12:34:41.671186
-34.0,1044.0,-139.0,2021/03/24,12:34:41.687425
-36.0,1040.0,-141.0,2021/03/24,12:34:41.703678
-33.0,1036.0,-142.0,2021/03/24,12:34:41.719916
-33.0,1043.0,-139.0,2021/03/24,12:34:41.736145
-30.0,1041.0,-138.0,2021/03/24,12:34:41.752376
-24.0,1042.0,-146.0,2021/03/24,12:34:41.768609
-33.0,1040.0,-144.0,2021/03/24,12:34:41.784858
-34.0,1041.0,-138.0,2021/03/24,12:34:41.801089
-35.0,1040.0,-143.0,2021/03/24,12:34:41.817327
-35.0,1043.0,-145.0,2021/03/24,12:34:41.833557
-32.0,1049.0,-139.0,2021/03/24,12:34:41.849788
-35.0,1043.0,-146.0,2021/03/24,12:34:41.866044
-32.0,1045.0,-140.0,2021/03/24,12:34:41.882287
-29.0,1047.0,-144.0,2021/03/24,12:34:41.898521
-33.0,1041.0,-143.0,2021/03/24,12:34:41.914764
-36.0,1041.0,-134.0,2021/03/24,12:34:41.931012
-34.0,1043.0,-140.0,2021/03/24,12:34:41.947248
-32.0,1049.0,-142.0,2021/03/24,12:34:41.963478
-34.0,1046.0,-139.0,2021/03/24,12:34:41.979708
-31.0,1042.0,-141.0,2021/03/24,12:34:41.995942
-34.0,1044.0,-140.0,2021/03/24,12:34:42.012179
-31.0,1041.0,-140.0,2021/03/24,12:34:42.028427
-31.0,1043.0,-139.0,2021/03/24,12:34:42.044667
-31.0,1045.0,-138.0,2021/03/24,12:34:42.060900
-35.0,1042.0,-148.0,2021/03/24,12:34:42.077138
-31.0,1042.0,-143.0,2021/03/24,12:34:42.093383
-35.0,1043.0,-141.0,2021/03/24,12:34:42.109621
-32.0,1042.0,-140.0,2021/03/24,12:34:42.125873
-30.0,1043.0,-148.0,2021/03/24,12:34:42.142102
-30.0,1043.0,-144.0,2021/03/24,12:34:42.158336
-33.0,1037.0,-140.0,2021/03/24,12:34:42.174586
-33.0,1043.0,-141.0,2021/03/24,12:34:42.190833
-31.0,1048.0,-138.0,2021/03/24,12:34:42.207065
-36.0,1041.0,-146.0,2021/03/24,12:34:42.223291
-37.0,1042.0,-140.0,2021/03/24,12:34:42.239528
-36.0,1043.0,-143.0,2021/03/24,12:34:42.255761
-29.0,1039.0,-137.0,2021/03/24,12:34:42.272033
-28.0,1047.0,-145.0,2021/03/24,12:34:42.288261
-27.0,1040.0,-142.0,2021/03/24,12:34:42.304490
-31.0,1044.0,-141.0,2021/03/24,12:34:42.320726
-30.0,1040.0,-140.0,2021/03/24,12:34:42.336962
-29.0,1043.0,-145.0,2021/03/24,12:34:42.353190
-30.0,1041.0,-148.0,2021/03/24,12:34:42.369416
-30.0,1039.0,-144.0,2021/03/24,12:34:42.385646
-29.0,1047.0,-144.0,2021/03/24,12:34:42.401872
-34.0,1046.0,-142.0,2021/03/24,12:34:42.418103
-36.0,1042.0,-136.0,2021/03/24,12:34:42.434338
-32.0,1045.0,-145.0,2021/03/24,12:34:42.450573
-30.0,1046.0,-144.0,2021/03/24,12:34:42.466802
-32.0,1044.0,-136.0,2021/03/24,12:34:42.483037
-37.0,1047.0,-143.0,2021/03/24,12:34:42.499274
-35.0,1046.0,-139.0,2021/03/24,12:34:42.515517
-40.0,1041.0,-145.0,2021/03/24,12:34:42.531748
-28.0,1044.0,-140.0,2021/03/24,12:34:42.547980
-31.0,1044.0,-142.0,2021/03/24,12:34:42.564215
-34.0,1041.0,-144.0,2021/03/24,12:34:42.580462
-37.0,1046.0,-140.0,2021/03/24,12:34:42.596696
-36.0,1042.0,-147.0,2021/03/24,12:34:42.612928
-33.0,1040.0,-137.0,2021/03/24,12:34:42.629160
-31.0,1045.0,-144.0,2021/03/24,12:34:42.645404
-30.0,1043.0,-147.0,2021/03/24,12:34:42.661647
-36.0,1043.0,-140.0,2021/03/24,12:34:42.677889
-34.0,1035.0,-148.0,2021/03/24,12:34:42.694119
-34.0,1045.0,-141.0,2021/03/24,12:34:42.710351
-29.0,1041.0,-135.0,2021/03/24,12:34:42.726598
-37.0,1047.0,-143.0,2021/03/24,12:34:42.742836
-25.0,1036.0,-135.0,2021/03/24,12:34:42.759072
-33.0,1045.0,-146.0,2021/03/24,12:34:42.775316
-28.0,1039.0,-141.0,2021/03/24,12:34:42.791553
-35.0,1039.0,-143.0,2021/03/24,12:34:42.807805
-33.0,1045.0,-148.0,2021/03/24,12:34:42.824047
-31.0,1043.0,-146.0,2021/03/24,12:34:42.840279
-33.0,1040.0,-142.0,2021/03/24,12:34:42.856509
