x_accel,y_accel,z_accel,Year/Month/Day,Hours:Minutes:Seconds.Milliseconds
-13.0,33.0,-998.0,2021/03/25,00:47:42.741778
-15.0,34.0,-1003.0,2021/03/25,00:47:42.758104
-16.0,31.0,-1007.0,2021/03/25,00:47:42.774429
-18.0,44.0,-1010.0,2021/03/25,00:47:42.790750
-20.0,47.0,-1009.0,2021/03/25,00:47:42.807256
-21.0,37.0,-1009.0,2021/03/25,00:47:42.823645
-22.0,37.0,-1009.0,2021/03/25,00:47:42.839877
-19.0,38.0,-997.0,2021/03/25,00:47:42.856316
-22.0,29.0,-997.0,2021/03/25,00:47:42.872551
-15.0,23.0,-994.0,2021/03/25,00:47:42.888790
-17.0,34.0,-1003.0,2021/03/25,00:47:42.905024
-21.0,28.0,-1008.0,2021/03/25,00:47:42.921255
-17.0,25.0,-1006.0,2021/03/25,00:47:42.937661
-17.0,30.0,-1000.0,2021/03/25,00:47:42.953904
-15.0,28.0,-995.0,2021/03/25,00:47:42.970162
-18.0,29.0,-998.0,2021/03/25,00:47:42.986393
-15.0,35.0,-991.0,2021/03/25,00:47:43.002624
-15.0,29.0,-997.0,2021/03/25,00:47:43.019042
-13.0,35.0,-1012.0,2021/03/25,00:47:43.035281
-13.0,45.0,-1005.0,2021/03/25,00:47:43.051535
-16.0,42.0,-1006.0,2021/03/25,00:47:43.067768
-19.0,42.0,-997.0,2021/03/25,00:47:43.083999
-17.0,36.0,-1003.0,2021/03/25,00:47:43.100411
-15.0,37.0,-996.0,2021/03/25,00:47:43.116635
-20.0,30.0,-1000.0,2021/03/25,00:47:43.132864
-18.0,27.0,-1005.0,2021/03/25,00:47:43.149093
-19.0,29.0,-1008.0,2021/03/25,00:47:43.165317
-17.0,23.0,-1009.0,2021/03/25,00:47:43.181700
-14.0,27.0,-1003.0,2021/03/25,00:47:43.197936
-14.0,29.0,-998.0,2021/03/25,00:47:43.214168
-13.0,33.0,-988.0,2021/03/25,00:47:43.230404
-18.0,32.0,-1001.0,2021/03/25,00:47:43.246636
-16.0,41.0,-1008.0,2021/03/25,00:47:43.262909
-12.0,39.0,-1010.0,2021/03/25,00:47:43.279156
-17.0,43.0,-1011.0,2021/03/25,00:47:43.295396
-18.0,40.0,-998.0,2021/03/25,00:47:43.311626
-15.0,38.0,-991.0,2021/03/25,00:47:43.327857
-22.0,31.0,-995.0,2021/03/25,00:47:43.344426
-20.0,35.0,-997.0,2021/03/25,00:47:43.360655
-16.0,32.0,-1006.0,2021/03/25,00:47:43.376891
-20.0,31.0,-1009.0,2021/03/25,00:47:43.393130
-22.0,26.0,-1000.0,2021/03/25,00:47:43.409373
-21.0,23.0,-1005.0,2021/03/25,00:47:43.425611
-22.0,25.0,-999.0,2021/03/25,00:47:43.441862
-26.0,28.0,-993.0,2021/03/25,00:47:43.458110
-26.0,29.0,-999.0,2021/03/25,00:47:43.474339
-18.0,33.0,-1000.0,2021/03/25,00:47:43.490576
-16.0,46.0,-1005.0,2021/03/25,00:47:43.506808
-15.0,36.0,-1001.0,2021/03/25,00:47:43.523036
-13.0,42.0,-994.0,2021/03/25,00:47:43.539285
-17.0,45.0,-995.0,2021/03/25,00:47:43.555517
-12.0,43.0,-1000.0,2021/03/25,00:47:43.572171
-14.0,38.0,-1002.0,2021/03/25,00:47:43.588421
-12.0,43.0,-1001.0,2021/03/25,00:47:43.604651
-14.0,35.0,-1005.0,2021/03/25,00:47:43.620886
-14.0,39.0,-1012.0,2021/03/25,00:47:43.637119
-19.0,41.0,-1009.0,2021/03/25,00:47:43.653345
-22.0,33.0,-999.0,2021/03/25,00:47:43.669580
-23.0,34.0,-1003.0,2021/03/25,00:47:43.685826
-20.0,35.0,-1001.0,2021/03/25,00:47:43.702063
-26.0,33.0,-994.0,2021/03/25,00:47:43.718295
-23.0,30.0,-998.0,2021/03/25,00:47:43.734617
-22.0,34.0,-998.0,2021/03/25,00:47:43.750976
-19.0,38.0,-995.0,2021/03/25,00:47:43.767210
-21.0,40.0,-999.0,2021/03/25,00:47:43.783442
-17.0,38.0,-1008.0,2021/03/25,00:47:43.799670
-17.0,37.0,-1005.0,2021/03/25,00:47:43.815899
-21.0,32.0,-1003.0,2021/03/25,00:47:43.832139
-24.0,33.0,-1000.0,2021/03/25,00:47:43.848373
-24.0,30.0,-1001.0,2021/03/25,00:47:43.864613
-18.0,38.0,-1001.0,2021/03/25,00:47:43.880850
-18.0,43.0,-1003.0,2021/03/25,00:47:43.897087
-14.0,41.0,-1007.0,2021/03/25,00:47:43.913350
-14.0,40.0,-1000.0,2021/03/25,00:47:43.929600
-16.0,42.0,-1002.0,2021/03/25,00:47:43.945839
-18.0,39.0,-1001.0,2021/03/25,00:47:43.962065
-13.0,38.0,-1003.0,2021/03/25,00:47:43.978297
-19.0,37.0,-1003.0,2021/03/25,00:47:43.994529
-19.0,42.0,-1005.0,2021/03/25,00:47:44.010765
-12.0,44.0,-1008.0,2021/03/25,00:47:44.027265
-14.0,39.0,-1002.0,2021/03/25,00:47:44.043799
-20.0,41.0,-1002.0,2021/03/25,00:47:44.061487
-23.0,37.0,-999.0,2021/03/25,00:47:44.077863
-20.0,37.0,-1004.0,2021/03/25,00:47:44.094191
-22.0,32.0,-1002.0,2021/03/25,00:47:44.110538
-17.0,33.0,-1004.0,2021/03/25,00:47:44.126967
-19.0,31.0,-1002.0,2021/03/25,00:47:44.143330
-21.0,31.0,-1001.0,2021/03/25,00:47:44.159646
-21.0,35.0,-997.0,2021/03/25,00:47:44.175883
-15.0,34.0,-1003.0,2021/03/25,00:47:44.192123
-16.0,36.0,-1005.0,2021/03/25,00:47:44.208361
-19.0,35.0,-996.0,2021/03/25,00:47:44.224603
-19.0,33.0,-1004.0,2021/03/25,00:47:44.240834
-19.0,38.0,-1001.0,2021/03/25,00:47:44.257062
-18.0,34.0,-999.0,2021/03/25,00:47:44.273343
-20.0,37.0,-995.0,2021/03/25,00:47:44.289659
-23.0,35.0,-1006.0,2021/03/25,00:47:44.305948
-20.0,33.0,-997.0,2021/03/25,00:47:44.322281
-21.0,35.0,-1003.0,2021/03/25,00:47:44.338628
-18.0,32.0,-999.0,2021/03/25,00:47:44.354990
-19.0,37.0,-1001.0,2021/03/25,00:47:44.371236
-20.0,35.0,-1005.0,2021/03/25,00:47:44.387487
-22.0,35.0,-1006.0,2021/03/25,00:47:44.403731
-20.0,31.0,-999.0,2021/03/25,00:47:44.419975
-25.0,34.0,-998.0,2021/03/25,00:47:44.436216
-22.0,38.0,-996.0,2021/03/25,00:47:44.452692
-26.0,38.0,-1006.0,2021/03/25,00:47:44.468956
-25.0,39.0,-1007.0,2021/03/25,00:47:44.485192
-21.0,38.0,-1008.0,2021/03/25,00:47:44.501494
-17.0,37.0,-1004.0,2021/03/25,00:47:44.517947
-20.0,35.0,-1003.0,2021/03/25,00:47:44.534217
-16.0,38.0,-997.0,2021/03/25,00:47:44.550506
-20.0,35.0,-1007.0,2021/03/25,00:47:44.566855
-20.0,43.0,-1008.0,2021/03/25,00:47:44.583091
-19.0,34.0,-1002.0,2021/03/25,00:47:44.599358
-20.0,38.0,-1005.0,2021/03/25,00:47:44.615628
-19.0,37.0,-1006.0,2021/03/25,00:47:44.631869
-19.0,39.0,-998.0,2021/03/25,00:47:44.648110
-20.0,33.0,-1004.0,2021/03/25,00:47:44.664367
-23.0,37.0,-1001.0,2021/03/25,00:47:44.680656
-19.0,36.0,-996.0,2021/03/25,00:47:44.696892
-16.0,30.0,-1003.0,2021/03/25,00:47:44.713133
-16.0,34.0,-1004.0,2021/03/25,00:47:44.729342
-20.0,40.0,-1003.0,2021/03/25,00:47:44.745593
-22.0,45.0,-1005.0,2021/03/25,00:47:44.761824
-21.0,45.0,-1003.0,2021/03/25,00:47:44.778061
-20.0,51.0,-1006.0,2021/03/25,00:47:44.794317
-19.0,40.0,-1008.0,2021/03/25,00:47:44.810553
-19.0,40.0,-1005.0,2021/03/25,00:47:44.826786
-18.0,27.0,-997.0,2021/03/25,00:47:44.843011
-21.0,32.0,-1000.0,2021/03/25,00:47:44.859244
-15.0,27.0,-995.0,2021/03/25,00:47:44.875492
-23.0,28.0,-1000.0,2021/03/25,00:47:44.891725
-17.0,30.0,-1006.0,2021/03/25,00:47:44.908030
-23.0,32.0,-1000.0,2021/03/25,00:47:44.924322
-20.0,35.0,-1000.0,2021/03/25,00:47:44.940569
-17.0,37.0,-1003.0,2021/03/25,00:47:44.956815
-19.0,39.0,-1008.0,2021/03/25,00:47:44.973031
-22.0,38.0,-998.0,2021/03/25,00:47:44.989269
-24.0,41.0,-998.0,2021/03/25,00:47:45.005614
-16.0,39.0,-1005.0,2021/03/25,00:47:45.021892
-23.0,44.0,-1001.0,2021/03/25,00:47:45.038137
-21.0,40.0,-1005.0,2021/03/25,00:47:45.054378
-19.0,38.0,-1007.0,2021/03/25,00:47:45.070612
-21.0,41.0,-997.0,2021/03/25,00:47:45.086851
-22.0,36.0,-1000.0,2021/03/25,00:47:45.103098
-18.0,41.0,-999.0,2021/03/25,00:47:45.119376
-21.0,38.0,-997.0,2021/03/25,00:47:45.135609
-22.0,34.0,-1000.0,2021/03/25,00:47:45.151848
-18.0,31.0,-1000.0,2021/03/25,00:47:45.168090
-21.0,34.0,-1003.0,2021/03/25,00:47:45.184333
-17.0,40.0,-1009.0,2021/03/25,00:47:45.200572
-16.0,43.0,-1012.0,2021/03/25,00:47:45.216836
-15.0,38.0,-1011.0,2021/03/25,00:47:45.233065
-12.0,43.0,-1000.0,2021/03/25,00:47:45.249306
-16.0,41.0,-1001.0,2021/03/25,00:47:45.265558
-15.0,34.0,-1002.0,2021/03/25,00:47:45.281792
-20.0,36.0,-1003.0,2021/03/25,00:47:45.298031
-19.0,41.0,-1002.0,2021/03/25,00:47:45.314269
-17.0,38.0,-1004.0,2021/03/25,00:47:45.330503
-19.0,40.0,-1004.0,2021/03/25,00:47:45.346746
-19.0,34.0,-997.0,2021/03/25,00:47:45.362988
-18.0,38.0,-1005.0,2021/03/25,00:47:45.379224
-18.0,41.0,-997.0,2021/03/25,00:47:45.395455
-19.0,38.0,-1007.0,2021/03/25,00:47:45.411691
-16.0,35.0,-1002.0,2021/03/25,00:47:45.427938
-16.0,43.0,-1006.0,2021/03/25,00:47:45.444178
-16.0,41.0,-997.0,2021/03/25,00:47:45.460432
-18.0,39.0,-1003.0,2021/03/25,00:47:45.476670
-18.0,39.0,-1000.0,2021/03/25,00:47:45.492908
-18.0,43.0,-1004.0,2021/03/25,00:47:45.509154
-17.0,38.0,-1005.0,2021/03/25,00:47:45.525393
-17.0,39.0,-1003.0,2021/03/25,00:47:45.541632
-17.0,40.0,-1008.0,2021/03/25,00:47:45.557890
-18.0,40.0,-1002.0,2021/03/25,00:47:45.574133
-18.0,37.0,-1004.0,2021/03/25,00:47:45.590374
-19.0,38.0,-1008.0,2021/03/25,00:47:45.606607
-19.0,39.0,-1002.0,2021/03/25,00:47:45.622847
-18.0,41.0,-1004.0,2021/03/25,00:47:45.639096
-15.0,45.0,-1007.0,2021/03/25,00:47:45.655340
-17.0,40.0,-1000.0,2021/03/25,00:47:45.671576
-19.0,38.0,-1000.0,2021/03/25,00:47:45.687815
-19.0,40.0,-1006.0,2021/03/25,00:47:45.704069
-18.0,39.0,-1005.0,2021/03/25,00:47:45.720295
-20.0,38.0,-1005.0,2021/03/25,00:47:45.736536
-22.0,39.0,-999.0,2021/03/25,00:47:45.752777
-18.0,37.0,-1000.0,2021/03/25,00:47:45.769021
-19.0,42.0,-1003.0,2021/03/25,00:47:45.785255
-18.0,40.0,-1003.0,2021/03/25,00:47:45.801498
-19.0,37.0,-1001.0,2021/03/25,00:47:45.817744
-18.0,39.0,-1001.0,2021/03/25,00:47:45.833985
-19.0,41.0,-999.0,2021/03/25,00:47:45.850215
