x_accel,y_accel,z_accel,Year/Month/Day,Hours:Minutes:Seconds.Milliseconds
-20.0,1044.0,-125.0,2021/03/24,12:38:11.300380
-17.0,1045.0,-131.0,2021/03/24,12:38:11.316810
-17.0,1049.0,-130.0,2021/03/24,12:38:11.333229
-22.0,1048.0,-127.0,2021/03/24,12:38:11.349781
-20.0,1044.0,-123.0,2021/03/24,12:38:11.366148
-15.0,1046.0,-126.0,2021/03/24,12:38:11.382520
-16.0,1050.0,-124.0,2021/03/24,12:38:11.398791
-18.0,1045.0,-125.0,2021/03/24,12:38:11.415037
-19.0,1047.0,-127.0,2021/03/24,12:38:11.431285
-17.0,1044.0,-122.0,2021/03/24,12:38:11.447529
-17.0,1047.0,-130.0,2021/03/24,12:38:11.463766
-16.0,1040.0,-124.0,2021/03/24,12:38:11.480010
-21.0,1044.0,-118.0,2021/03/24,12:38:11.496263
-18.0,1043.0,-124.0,2021/03/24,12:38:11.512508
-14.0,1046.0,-125.0,2021/03/24,12:38:11.528752
-13.0,1044.0,-128.0,2021/03/24,12:38:11.544992
-14.0,1044.0,-129.0,2021/03/24,12:38:11.561231
-19.0,1044.0,-125.0,2021/03/24,12:38:11.577470
-20.0,1044.0,-122.0,2021/03/24,12:38:11.593714
-17.0,1046.0,-120.0,2021/03/24,12:38:11.610008
-15.0,1044.0,-121.0,2021/03/24,12:38:11.626261
-18.0,1045.0,-118.0,2021/03/24,12:38:11.642510
-17.0,1053.0,-123.0,2021/03/24,12:38:11.658755
-16.0,1043.0,-122.0,2021/03/24,12:38:11.675020
-12.0,1038.0,-124.0,2021/03/24,12:38:11.691281
-15.0,1042.0,-124.0,2021/03/24,12:38:11.707519
-19.0,1041.0,-121.0,2021/03/24,12:38:11.723758
-17.0,1047.0,-123.0,2021/03/24,12:38:11.739991
-19.0,1051.0,-128.0,2021/03/24,12:38:11.756235
-17.0,1045.0,-124.0,2021/03/24,12:38:11.772469
-22.0,1050.0,-127.0,2021/03/24,12:38:11.788709
-23.0,1046.0,-130.0,2021/03/24,12:38:11.804937
-20.0,1048.0,-128.0,2021/03/24,12:38:11.821187
-18.0,1047.0,-128.0,2021/03/24,12:38:11.837434
-20.0,1047.0,-132.0,2021/03/24,12:38:11.853675
-20.0,1049.0,-130.0,2021/03/24,12:38:11.869906
-22.0,1048.0,-128.0,2021/03/24,12:38:11.886144
-22.0,1048.0,-121.0,2021/03/24,12:38:11.902372
-17.0,1042.0,-123.0,2021/03/24,12:38:11.918609
-17.0,1045.0,-134.0,2021/03/24,12:38:11.934850
-18.0,1041.0,-129.0,2021/03/24,12:38:11.951101
-21.0,1047.0,-131.0,2021/03/24,12:38:11.967343
-22.0,1048.0,-131.0,2021/03/24,12:38:11.983581
-24.0,1050.0,-125.0,2021/03/24,12:38:11.999825
-27.0,1050.0,-123.0,2021/03/24,12:38:12.016059
-25.0,1041.0,-129.0,2021/03/24,12:38:12.032308
-22.0,1044.0,-137.0,2021/03/24,12:38:12.048551
-24.0,1049.0,-131.0,2021/03/24,12:38:12.064791
-25.0,1043.0,-136.0,2021/03/24,12:38:12.081048
-21.0,1048.0,-127.0,2021/03/24,12:38:12.097300
-28.0,1042.0,-130.0,2021/03/24,12:38:12.113540
-28.0,1043.0,-135.0,2021/03/24,12:38:12.129780
-24.0,1049.0,-133.0,2021/03/24,12:38:12.146030
-19.0,1044.0,-128.0,2021/03/24,12:38:12.162287
-18.0,1044.0,-133.0,2021/03/24,12:38:12.178522
-20.0,1041.0,-129.0,2021/03/24,12:38:12.194761
-19.0,1045.0,-126.0,2021/03/24,12:38:12.211013
-20.0,1046.0,-120.0,2021/03/24,12:38:12.227266
-21.0,1044.0,-121.0,2021/03/24,12:38:12.243519
-21.0,1045.0,-130.0,2021/03/24,12:38:12.259758
-20.0,1041.0,-126.0,2021/03/24,12:38:12.275999
-17.0,1039.0,-118.0,2021/03/24,12:38:12.292238
-10.0,1045.0,-123.0,2021/03/24,12:38:12.308483
-15.0,1047.0,-123.0,2021/03/24,12:38:12.324732
-18.0,1043.0,-121.0,2021/03/24,12:38:12.340966
-21.0,1047.0,-117.0,2021/03/24,12:38:12.357203
-18.0,1043.0,-122.0,2021/03/24,12:38:12.373445
-17.0,1044.0,-126.0,2021/03/24,12:38:12.389703
-19.0,1042.0,-119.0,2021/03/24,12:38:12.405945
-20.0,1044.0,-119.0,2021/03/24,12:38:12.422173
